"run_id","round_size","match_order","left_book_id","right_book_id","winner_book_id"
"1","16","0","166","199","166"
"1","16","1","4","228","228"
"1","16","2","163","196","196"
"1","16","3","1","229","1"
"1","16","4","164","197","164"
"1","16","5","2","230","2"
"1","16","6","165","198","198"
"1","16","7","3","231","231"
"1","8","0","166","228","166"
"1","8","1","196","1","196"
"1","8","2","164","2","164"
"1","8","3","198","231","231"
"1","4","0","166","196","196"
"1","4","1","164","231","231"
"1","2","0","196","231","196"
"2","16","0","246","301","246"
"2","16","1","274","247","274"
"2","16","2","302","275","302"
"2","16","3","248","303","303"
"2","16","4","276","249","249"
"2","16","5","304","277","277"
"2","16","6","250","305","250"
"2","16","7","300","273","300"
"2","8","0","246","274","274"
"2","8","1","302","303","303"
"2","8","2","249","277","277"
"2","8","3","250","300","250"
"2","4","0","274","303","274"
"2","4","1","277","250","277"
"2","2","0","274","277","277"
"3","16","0","371","322","322"
"3","16","1","396","347","347"
"3","16","2","372","323","323"
"3","16","3","397","348","397"
"3","16","4","373","320","373"
"3","16","5","394","345","394"
"3","16","6","370","321","321"
"3","16","7","395","346","346"
"3","8","0","322","347","322"
"3","8","1","323","397","323"
"3","8","2","373","394","373"
"3","8","3","321","346","346"
"3","4","0","322","323","323"
"3","4","1","373","346","373"
"3","2","0","323","373","323"
"4","16","0","480","481","480"
"4","16","1","482","483","482"
"4","16","2","493","494","493"
"4","16","3","495","496","496"
"4","16","4","497","498","498"
"4","16","5","499","476","476"
"4","16","6","500","477","500"
"4","16","7","478","479","478"
"4","8","0","480","482","482"
"4","8","1","493","496","496"
"4","8","2","498","476","476"
"4","8","3","500","478","500"
"4","4","0","482","496","482"
"4","4","1","476","500","500"
"4","2","0","482","500","500"
"5","16","0","365","43","43"
"5","16","1","730","408","408"
"5","16","2","86","773","773"
"5","16","3","451","129","451"
"5","16","4","816","494","816"
"5","16","5","172","859","172"
"5","16","6","537","215","215"
"5","16","7","902","687","687"
"5","8","0","43","408","43"
"5","8","1","773","451","773"
"5","8","2","816","172","816"
"5","8","3","215","687","687"
"5","4","0","43","773","773"
"5","4","1","816","687","816"
"5","2","0","773","816","773"
"6","16","0","438","933","438"
"6","16","1","419","914","419"
"6","16","2","400","895","400"
"6","16","3","381","876","876"
"6","16","4","362","857","857"
"6","16","5","495","990","495"
"6","16","6","476","971","476"
"6","16","7","457","952","457"
"6","8","0","438","419","419"
"6","8","1","400","876","876"
"6","8","2","857","495","857"
"6","8","3","476","457","476"
"6","4","0","419","876","419"
"6","4","1","857","476","476"
"6","2","0","419","476","476"
"7","16","0","70","244","244"
"7","16","1","418","592","418"
"7","16","2","766","174","766"
"7","16","3","348","522","348"
"7","16","4","696","870","870"
"7","16","5","35","209","209"
"7","16","6","383","557","557"
"7","16","7","731","905","731"
"7","8","0","244","418","244"
"7","8","1","766","348","348"
"7","8","2","870","209","209"
"7","8","3","557","731","731"
"7","4","0","244","348","244"
"7","4","1","209","731","209"
"7","2","0","244","209","209"
"8","16","0","228","163","228"
"8","16","1","196","1","1"
"8","16","2","229","164","164"
"8","16","3","197","2","2"
"8","16","4","230","165","230"
"8","16","5","198","3","198"
"8","16","6","231","166","231"
"8","16","7","199","4","4"
"8","8","0","228","1","1"
"8","8","1","164","2","164"
"8","8","2","230","198","230"
"8","8","3","231","4","231"
"8","4","0","1","164","164"
"8","4","1","230","231","231"
"8","2","0","164","231","164"
"9","16","0","247","302","247"
"9","16","1","275","248","275"
"9","16","2","303","276","303"
"9","16","3","249","304","304"
"9","16","4","277","250","250"
"9","16","5","305","300","300"
"9","16","6","273","246","273"
"9","16","7","301","274","301"
"9","8","0","247","275","275"
"9","8","1","303","304","304"
"9","8","2","250","300","300"
"9","8","3","273","301","273"
"9","4","0","275","304","275"
"9","4","1","300","273","300"
"9","2","0","275","300","300"
"10","16","0","347","372","372"
"10","16","1","323","397","397"
"10","16","2","348","373","373"
"10","16","3","320","394","320"
"10","16","4","345","370","345"
"10","16","5","321","395","321"
"10","16","6","346","371","371"
"10","16","7","322","396","396"
"10","8","0","372","397","372"
"10","8","1","373","320","373"
"10","8","2","345","321","345"
"10","8","3","371","396","396"
"10","4","0","372","373","373"
"10","4","1","345","396","396"
"10","2","0","373","396","373"
"11","16","0","592","766","766"
"11","16","1","174","348","174"
"11","16","2","522","696","522"
"11","16","3","870","35","870"
"11","16","4","209","383","383"
"11","16","5","557","731","731"
"11","16","6","905","70","70"
"11","16","7","244","418","244"
"11","8","0","766","174","766"
"11","8","1","522","870","870"
"11","8","2","383","731","731"
"11","8","3","70","244","244"
"11","4","0","766","870","766"
"11","4","1","731","244","731"
"11","2","0","766","731","731"
"12","16","0","451","129","129"
"12","16","1","816","494","494"
"12","16","2","172","859","859"
"12","16","3","537","215","537"
"12","16","4","902","687","902"
"12","16","5","365","43","365"
"12","16","6","730","408","408"
"12","16","7","86","773","773"
"12","8","0","129","494","129"
"12","8","1","859","537","859"
"12","8","2","902","365","902"
"12","8","3","408","773","773"
"12","4","0","129","859","859"
"12","4","1","902","773","902"
"12","2","0","859","902","859"
"13","16","0","381","876","381"
"13","16","1","362","857","362"
"13","16","2","495","990","495"
"13","16","3","476","971","971"
"13","16","4","457","952","952"
"13","16","5","438","933","933"
"13","16","6","419","914","419"
"13","16","7","400","895","400"
"13","8","0","381","362","362"
"13","8","1","495","971","971"
"13","8","2","952","933","933"
"13","8","3","419","400","419"
"13","4","0","362","971","362"
"13","4","1","933","419","419"
"13","2","0","362","419","419"
"14","16","0","667","496","496"
"14","16","1","325","154","154"
"14","16","2","992","821","821"
"14","16","3","650","479","650"
"14","16","4","308","137","308"
"14","16","5","975","804","975"
"14","16","6","633","462","462"
"14","16","7","291","838","838"
"14","8","0","496","154","496"
"14","8","1","821","650","821"
"14","8","2","308","975","308"
"14","8","3","462","838","838"
"14","4","0","496","821","821"
"14","4","1","308","838","308"
"14","2","0","821","308","821"
"15","16","0","249","304","304"
"15","16","1","277","250","277"
"15","16","2","305","300","305"
"15","16","3","273","246","273"
"15","16","4","301","274","274"
"15","16","5","247","302","302"
"15","16","6","275","248","248"
"15","16","7","303","276","303"
"15","8","0","304","277","304"
"15","8","1","305","273","273"
"15","8","2","274","302","302"
"15","8","3","248","303","303"
"15","4","0","304","273","304"
"15","4","1","302","303","302"
"15","2","0","304","302","302"
"16","16","0","320","394","320"
"16","16","1","345","370","370"
"16","16","2","321","395","395"
"16","16","3","346","371","371"
"16","16","4","322","396","322"
"16","16","5","347","372","347"
"16","16","6","323","397","323"
"16","16","7","348","373","373"
"16","8","0","320","370","370"
"16","8","1","395","371","395"
"16","8","2","322","347","322"
"16","8","3","323","373","323"
"16","4","0","370","395","395"
"16","4","1","322","323","323"
"16","2","0","395","323","395"
"17","16","0","498","499","498"
"17","16","1","476","500","476"
"17","16","2","477","478","477"
"17","16","3","479","480","480"
"17","16","4","481","482","482"
"17","16","5","483","493","493"
"17","16","6","494","495","494"
"17","16","7","496","497","496"
"17","8","0","498","476","476"
"17","8","1","477","480","480"
"17","8","2","482","493","493"
"17","8","3","494","496","494"
"17","4","0","476","480","476"
"17","4","1","493","494","493"
"17","2","0","476","493","493"
"18","16","0","494","172","172"
"18","16","1","859","537","537"
"18","16","2","215","902","902"
"18","16","3","687","365","687"
"18","16","4","43","730","43"
"18","16","5","408","86","408"
"18","16","6","773","451","451"
"18","16","7","129","816","816"
"18","8","0","172","537","172"
"18","8","1","902","687","902"
"18","8","2","43","408","43"
"18","8","3","451","816","816"
"18","4","0","172","902","902"
"18","4","1","43","816","816"
"18","2","0","902","816","902"
"19","16","0","857","495","857"
"19","16","1","990","476","990"
"19","16","2","971","457","971"
"19","16","3","952","438","438"
"19","16","4","933","419","419"
"19","16","5","914","400","400"
"19","16","6","895","381","895"
"19","16","7","876","362","876"
"19","8","0","857","990","990"
"19","8","1","971","438","438"
"19","8","2","419","400","400"
"19","8","3","895","876","895"
"19","4","0","990","438","990"
"19","4","1","400","895","895"
"19","2","0","990","895","895"
"20","16","0","154","992","992"
"20","16","1","821","650","650"
"20","16","2","479","308","308"
"20","16","3","137","975","137"
"20","16","4","804","633","804"
"20","16","5","462","291","462"
"20","16","6","838","667","667"
"20","16","7","496","325","325"
"20","8","0","992","650","992"
"20","8","1","308","137","308"
"20","8","2","804","462","804"
"20","8","3","667","325","325"
"20","4","0","992","308","308"
"20","4","1","804","325","804"
"20","2","0","308","804","308"
"21","16","0","870","35","35"
"21","16","1","209","383","209"
"21","16","2","557","731","557"
"21","16","3","905","70","905"
"21","16","4","244","418","418"
"21","16","5","592","766","766"
"21","16","6","174","348","348"
"21","16","7","522","696","522"
"21","8","0","35","209","35"
"21","8","1","557","905","905"
"21","8","2","418","766","766"
"21","8","3","348","522","522"
"21","4","0","35","905","35"
"21","4","1","766","522","766"
"21","2","0","35","766","766"
"22","16","0","165","198","165"
"22","16","1","3","231","231"
"22","16","2","166","199","199"
"22","16","3","4","228","228"
"22","16","4","163","196","163"
"22","16","5","1","229","1"
"22","16","6","164","197","164"
"22","16","7","2","230","230"
"22","8","0","165","231","231"
"22","8","1","199","228","199"
"22","8","2","163","1","163"
"22","8","3","164","230","164"
"22","4","0","231","199","199"
"22","4","1","163","164","164"
"22","2","0","199","164","199"
"23","16","0","250","305","305"
"23","16","1","300","273","300"
"23","16","2","246","301","246"
"23","16","3","274","247","274"
"23","16","4","302","275","275"
"23","16","5","248","303","303"
"23","16","6","276","249","249"
"23","16","7","304","277","304"
"23","8","0","305","300","305"
"23","8","1","246","274","274"
"23","8","2","275","303","303"
"23","8","3","249","304","304"
"23","4","0","305","274","305"
"23","4","1","303","304","303"
"23","2","0","305","303","303"
"24","16","0","370","321","370"
"24","16","1","395","346","346"
"24","16","2","371","322","322"
"24","16","3","396","347","347"
"24","16","4","372","323","372"
"24","16","5","397","348","397"
"24","16","6","373","320","373"
"24","16","7","394","345","345"
"24","8","0","370","346","346"
"24","8","1","322","347","322"
"24","8","2","372","397","372"
"24","8","3","373","345","373"
"24","4","0","346","322","322"
"24","4","1","372","373","373"
"24","2","0","322","373","322"
"25","16","0","500","477","477"
"25","16","1","478","479","478"
"25","16","2","480","481","480"
"25","16","3","482","483","482"
"25","16","4","493","494","494"
"25","16","5","495","496","496"
"25","16","6","497","498","498"
"25","16","7","499","476","499"
"25","8","0","477","478","477"
"25","8","1","480","482","482"
"25","8","2","494","496","496"
"25","8","3","498","499","498"
"25","4","0","477","482","477"
"25","4","1","496","498","496"
"25","2","0","477","496","496"
"26","16","0","383","557","557"
"26","16","1","731","905","905"
"26","16","2","70","244","70"
"26","16","3","418","592","418"
"26","16","4","766","174","766"
"26","16","5","348","522","522"
"26","16","6","696","870","870"
"26","16","7","35","209","35"
"26","8","0","557","905","557"
"26","8","1","70","418","418"
"26","8","2","766","522","522"
"26","8","3","870","35","35"
"26","4","0","557","418","557"
"26","4","1","522","35","522"
"26","2","0","557","522","557"
"27","16","0","231","166","231"
"27","16","1","199","4","4"
"27","16","2","228","163","163"
"27","16","3","196","1","1"
"27","16","4","229","164","229"
"27","16","5","197","2","197"
"27","16","6","230","165","230"
"27","16","7","198","3","3"
"27","8","0","231","4","4"
"27","8","1","163","1","163"
"27","8","2","229","197","229"
"27","8","3","230","3","230"
"27","4","0","4","163","163"
"27","4","1","229","230","230"
"27","2","0","163","230","163"
"28","16","0","952","438","952"
"28","16","1","933","419","933"
"28","16","2","914","400","914"
"28","16","3","895","381","381"
"28","16","4","876","362","362"
"28","16","5","857","495","495"
"28","16","6","990","476","990"
"28","16","7","971","457","971"
"28","8","0","952","933","933"
"28","8","1","914","381","381"
"28","8","2","362","495","495"
"28","8","3","990","971","990"
"28","4","0","933","381","933"
"28","4","1","495","990","495"
"28","2","0","933","495","495"
"29","16","0","137","975","975"
"29","16","1","804","633","633"
"29","16","2","462","291","291"
"29","16","3","838","667","838"
"29","16","4","496","325","496"
"29","16","5","154","992","154"
"29","16","6","821","650","650"
"29","16","7","479","308","308"
"29","8","0","975","633","975"
"29","8","1","291","838","291"
"29","8","2","496","154","496"
"29","8","3","650","308","308"
"29","4","0","975","291","291"
"29","4","1","496","308","308"
"29","2","0","291","308","291"
"30","16","0","396","347","396"
"30","16","1","372","323","323"
"30","16","2","397","348","348"
"30","16","3","373","320","320"
"30","16","4","394","345","394"
"30","16","5","370","321","370"
"30","16","6","395","346","395"
"30","16","7","371","322","322"
"30","8","0","396","323","323"
"30","8","1","348","320","348"
"30","8","2","394","370","394"
"30","8","3","395","322","395"
"30","4","0","323","348","348"
"30","4","1","394","395","395"
"30","2","0","348","395","348"
"31","16","0","482","483","483"
"31","16","1","493","494","493"
