"run_id","template_id","login_id","bracket_size","winner_book_id"
"1","2","user1","16","228"
"2","3","user1","16","274"
"3","4","user1","16","320"
"4","5","user1","16","496"
"5","6","user1","16","537"
"6","7","user1","16","952"
"7","1","user2","16","70"
"8","2","user2","16","199"
"9","3","user2","16","305"
"10","4","user2","16","320"
"11","1","user3","16","696"
"12","6","user3","16","86"
"13","7","user3","16","952"
"14","8","user3","16","838"
"15","3","user4","16","302"
"16","4","user4","16","373"
"17","5","user4","16","477"
"18","6","user4","16","86"
"19","7","user4","16","952"
"20","8","user4","16","137"
"21","1","user5","16","70"
"22","2","user5","16","164"
"23","3","user5","16","302"
"24","4","user5","16","394"
"25","5","user5","16","496"
"26","1","user6","16","870"
"27","2","user6","16","164"
"28","7","user6","16","914"
"29","8","user6","16","291"
"30","4","user7","16","397"
"31","5","user7","16","482"
"32","6","user7","16","408"
"33","7","user7","16","952"
"34","8","user7","16","838"
"35","1","user8","16","696"
"36","2","user8","16","164"
"37","3","user8","16","277"
"38","4","user8","16","397"
"39","5","user8","16","482"
"40","6","user8","16","730"
"41","1","user9","16","174"
"42","2","user9","16","231"
"43","3","user9","16","277"
"44","8","user9","16","838"
"45","5","user10","16","493"
"46","6","user10","16","129"
"47","7","user10","16","914"
"48","8","user10","16","838"
"49","2","user11","16","166"
"50","3","user11","16","277"
"51","4","user11","16","348"
"52","5","user11","16","496"
"53","6","user11","16","129"
"54","7","user11","16","476"
"55","1","user12","16","174"
"56","2","user12","16","166"
"57","3","user12","16","277"
"58","4","user12","16","348"
"59","1","user13","16","731"
"60","6","user13","16","451"
"61","7","user13","16","476"
"62","8","user13","16","838"
"63","3","user14","16","275"
"64","4","user14","16","320"
"65","5","user14","16","482"
"66","6","user14","16","129"
"67","7","user14","16","476"
"68","8","user14","16","975"
"69","1","user15","16","731"
"70","2","user15","16","229"
"71","3","user15","16","249"
"72","4","user15","16","320"
"73","5","user15","16","477"
"74","1","user16","16","731"
"75","2","user16","16","3"
"76","7","user16","16","876"
"77","8","user16","16","975"
"78","4","user17","16","370"
"79","5","user17","16","477"
"80","6","user17","16","129"
"81","7","user17","16","438"
"82","8","user17","16","838"
"83","1","user18","16","592"
"84","2","user18","16","163"
"85","3","user18","16","275"
"86","4","user18","16","370"
"87","5","user18","16","476"
"88","6","user18","16","129"
"89","1","user19","16","592"
"90","2","user19","16","229"
"91","3","user19","16","275"
"92","8","user19","16","154"
"93","5","user20","16","477"
"94","6","user20","16","215"
"95","7","user20","16","876"
"96","8","user20","16","975"
"97","2","user21","16","166"
"98","3","user21","16","275"
"99","4","user21","16","348"
"100","5","user21","16","493"
"101","6","user21","16","129"
"102","7","user21","16","876"
"103","1","user22","16","174"
"104","2","user22","16","166"
"105","3","user22","16","303"
"106","4","user22","16","348"
"107","1","user23","16","244"
"108","6","user23","16","902"
"109","7","user23","16","876"
"110","8","user23","16","992"
"111","3","user24","16","277"
"112","4","user24","16","346"
"113","5","user24","16","493"
"114","6","user24","16","86"
"115","7","user24","16","895"
"116","8","user24","16","154"
"117","1","user25","16","348"
"118","2","user25","16","229"
"119","3","user25","16","275"
"120","4","user25","16","346"
"121","5","user25","16","500"
"122","1","user26","16","348"
"123","2","user26","16","229"
"124","7","user26","16","438"
"125","8","user26","16","154"
"126","4","user27","16","320"
"127","5","user27","16","500"
"128","6","user27","16","86"
"129","7","user27","16","419"
"130","8","user27","16","975"
"131","1","user28","16","348"
"132","2","user28","16","199"
"133","3","user28","16","305"
"134","4","user28","16","320"
"135","5","user28","16","500"
"136","6","user28","16","773"
"137","1","user29","16","348"
"138","2","user29","16","228"
"139","3","user29","16","274"
"140","8","user29","16","308"
"141","5","user30","16","496"
"142","6","user30","16","537"
"143","7","user30","16","952"
"144","8","user30","16","308"
"145","2","user31","16","199"
"146","3","user31","16","305"
"147","4","user31","16","320"
"148","5","user31","16","477"
"149","6","user31","16","773"
"150","7","user31","16","952"
"151","1","user32","16","696"
"152","2","user32","16","199"
"153","3","user32","16","305"
"154","4","user32","16","320"
"155","1","user33","16","696"
"156","6","user33","16","86"
"157","7","user33","16","952"
"158","8","user33","16","137"
"159","3","user34","16","302"
"160","4","user34","16","394"
"161","5","user34","16","496"
"162","6","user34","16","86"
"163","7","user34","16","952"
"164","8","user34","16","838"
"165","1","user35","16","870"
"166","2","user35","16","164"
"167","3","user35","16","302"
"168","4","user35","16","397"
"169","5","user35","16","482"
"170","1","user36","16","870"
"171","2","user36","16","164"
"172","7","user36","16","457"
"173","8","user36","16","838"
"174","4","user37","16","397"
"175","5","user37","16","482"
"176","6","user37","16","408"
"177","7","user37","16","952"
"178","8","user37","16","838"
"179","1","user38","16","174"
"180","2","user38","16","231"
"181","3","user38","16","277"
"182","4","user38","16","397"
"183","5","user38","16","482"
"184","6","user38","16","730"
"185","1","user39","16","870"
"186","2","user39","16","231"
"187","3","user39","16","301"
"188","8","user39","16","838"
"189","5","user40","16","496"
"190","6","user40","16","129"
