"template_id","book_id","sort_order"
"1","174","0"
"1","348","1"
"1","522","2"
"1","696","3"
"1","870","4"
"1","35","5"
"1","209","6"
"1","383","7"
"1","557","8"
"1","731","9"
"1","905","10"
"1","70","11"
"1","244","12"
"1","418","13"
"1","592","14"
"1","766","15"
"2","228","0"
"2","163","1"
"2","196","2"
"2","1","3"
"2","229","4"
"2","164","5"
"2","197","6"
"2","2","7"
"2","230","8"
"2","165","9"
"2","198","10"
"2","3","11"
"2","231","12"
"2","166","13"
"2","199","14"
"2","4","15"
"3","300","0"
"3","273","1"
"3","246","2"
"3","301","3"
"3","274","4"
"3","247","5"
"3","302","6"
"3","275","7"
"3","248","8"
"3","303","9"
"3","276","10"
"3","249","11"
"3","304","12"
"3","277","13"
"3","250","14"
"3","305","15"
"4","320","0"
"4","394","1"
"4","345","2"
"4","370","3"
"4","321","4"
"4","395","5"
"4","346","6"
"4","371","7"
"4","322","8"
"4","396","9"
"4","347","10"
"4","372","11"
"4","323","12"
"4","397","13"
"4","348","14"
"4","373","15"
"5","493","0"
"5","494","1"
"5","495","2"
"5","496","3"
"5","497","4"
"5","498","5"
"5","499","6"
"5","476","7"
"5","500","8"
"5","477","9"
"5","478","10"
"5","479","11"
"5","480","12"
"5","481","13"
"5","482","14"
"5","483","15"
"6","687","0"
"6","365","1"
"6","43","2"
"6","730","3"
"6","408","4"
"6","86","5"
"6","773","6"
"6","451","7"
"6","129","8"
"6","816","9"
"6","494","10"
"6","172","11"
"6","859","12"
"6","537","13"
"6","215","14"
"6","902","15"
"7","495","0"
"7","990","1"
"7","476","2"
"7","971","3"
"7","457","4"
"7","952","5"
"7","438","6"
"7","933","7"
"7","419","8"
"7","914","9"
"7","400","10"
"7","895","11"
"7","381","12"
"7","876","13"
"7","362","14"
"7","857","15"
"8","838","0"
"8","667","1"
"8","496","2"
"8","325","3"
"8","154","4"
"8","992","5"
"8","821","6"
"8","650","7"
"8","479","8"
"8","308","9"
"8","137","10"
"8","975","11"
"8","804","12"
"8","633","13"
"8","462","14"
"8","291","15"
