"post_id","login_id","created_days_ago"
"2","user2","0"
"2","user7","0"
"2","user14","1"
"3","user1","0"
"3","user5","0"
"3","user9","0"
"3","user13","1"
"3","user18","1"
"3","user24","1"
"3","user31","2"
"3","user42","2"
"3","user57","3"
"3","user70","3"
"4","user8","0"
"4","user16","1"
"4","user33","2"
"5","user3","0"
"5","user6","0"
"5","user11","0"
"5","user17","1"
"5","user25","1"
"5","user36","1"
"5","user49","2"
"5","user65","3"
"6","user12","0"
"6","user28","1"
"7","user4","0"
"7","user10","0"
"7","user22","1"
"7","user39","2"
"8","user15","0"
"8","user34","1"
"8","user52","2"
"9","user20","0"
"9","user41","1"
"10","user19","0"
"10","user27","1"
"10","user61","2"
"11","user23","0"
"11","user47","1"
"12","user26","0"
"12","user55","1"
"13","user1","0"
"13","user8","0"
"13","user21","0"
"13","user37","1"
"13","user58","2"
"13","user76","3"
"14","user29","0"
"14","user63","2"
"15","user2","0"
"15","user6","0"
"15","user12","0"
"15","user30","1"
"15","user45","1"
"15","user68","2"
"15","user82","3"
"16","user32","0"
