"login_id","book_id","score","comment_text"
"user30","1","3","흥미로운 부분과 아쉬운 부분이 함께 있었어요. 주변의 평가도 한번 들어 보고 싶어요."
"user67","1","4","생각보다 몰입해서 읽었어요. 비슷한 취향의 사람에게 추천하고 싶어요."
"user4","1","4","주제와 구성이 잘 어우러졌어요."
"user41","1","3","전반적으로 괜찮은 독서 경험이었어요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
"user78","1","3","흥미로운 부분과 아쉬운 부분이 함께 있었어요. 주변의 평가도 한번 들어 보고 싶어요."
"user15","1","4","기대 이상으로 만족스럽게 읽었어요. 비슷한 취향의 사람에게 추천하고 싶어요."
"user52","1","3","기대했던 정도로 재미있게 읽었어요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user89","1","3","전반적으로 괜찮은 독서 경험이었어요."
"user26","1","2","장점과 단점이 분명한 책이었어요. 인상적인 부분만큼 아쉬운 부분도 있었어요."
"user63","1","3","한 번쯤 읽어 볼 만한 책이에요. 가볍게 읽을 책을 찾는다면 괜찮아요."
"user100","1","3","기대했던 정도로 재미있게 읽었어요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user37","1","3","취향에 따라 평가가 달라질 것 같아요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
"user74","1","3","몇몇 대목이 기억에 남았어요."
"user11","1","3","부담 없이 무난하게 읽었어요. 가볍게 읽을 책을 찾는다면 괜찮아요."
"user48","1","3","전체적으로 균형이 잘 잡힌 편이에요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user85","1","3","취향에 따라 평가가 달라질 것 같아요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
"user22","1","3","흥미로운 부분과 아쉬운 부분이 함께 있었어요. 주변의 평가도 한번 들어 보고 싶어요."
"user59","1","3","부담 없이 무난하게 읽었어요."
"user96","1","4","공감되는 대목이 많아 인상 깊었어요. 다른 작품도 찾아 읽어 보고 싶어요."
"user33","1","3","전반적으로 괜찮은 독서 경험이었어요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
"user70","1","3","흥미로운 부분과 아쉬운 부분이 함께 있었어요. 주변의 평가도 한번 들어 보고 싶어요."
"user7","1","3","한 번쯤 읽어 볼 만한 책이에요. 가볍게 읽을 책을 찾는다면 괜찮아요."
"user44","1","3","기대했던 정도로 재미있게 읽었어요."
"user81","1","3","전반적으로 괜찮은 독서 경험이었어요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
"user18","1","3","몇몇 대목이 기억에 남았어요. 주변의 평가도 한번 들어 보고 싶어요."
"user55","1","3","한 번쯤 읽어 볼 만한 책이에요. 가볍게 읽을 책을 찾는다면 괜찮아요."
"user92","1","3","기대했던 정도로 재미있게 읽었어요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user29","1","3","취향에 따라 평가가 달라질 것 같아요."
"user66","1","3","몇몇 대목이 기억에 남았어요. 주변의 평가도 한번 들어 보고 싶어요."
"user3","1","3","부담 없이 무난하게 읽었어요. 가볍게 읽을 책을 찾는다면 괜찮아요."
"user40","1","3","전체적으로 균형이 잘 잡힌 편이에요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user77","1","4","책장을 넘기는 시간이 즐거웠어요. 나중에 한 번 더 읽어 볼 생각이에요."
"user14","1","3","흥미로운 부분과 아쉬운 부분이 함께 있었어요."
"user51","1","4","생각보다 몰입해서 읽었어요. 비슷한 취향의 사람에게 추천하고 싶어요."
"user88","1","3","전체적으로 균형이 잘 잡힌 편이에요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user25","1","4","읽고 나서도 기억에 남는 부분이 많아요. 나중에 한 번 더 읽어 볼 생각이에요."
"user62","1","3","흥미로운 부분과 아쉬운 부분이 함께 있었어요. 주변의 평가도 한번 들어 보고 싶어요."
"user99","1","3","부담 없이 무난하게 읽었어요."
"user36","1","3","기대했던 정도로 재미있게 읽었어요. 시간이 지나면 다시 생각날 수도 있을 것 같아요."
"user73","1","3","전반적으로 괜찮은 독서 경험이었어요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
"user10","1","3","몇몇 대목이 기억에 남았어요. 주변의 평가도 한번 들어 보고 싶어요."
"user47","1","3","한 번쯤 읽어 볼 만한 책이에요. 가볍게 읽을 책을 찾는다면 괜찮아요."
"user84","1","4","주제와 구성이 잘 어우러졌어요."
"user21","1","3","취향에 따라 평가가 달라질 것 같아요. 큰 기대 없이 읽으면 무난하게 즐길 수 있어요."
