"tier_list_id","book_id","tier_grade","sort_order"
"1","236","B","817"
"1","237","A","854"
"1","238","C","891"
"1","239","A","928"
"1","240","C","965"
"1","241","A","1002"
"1","242","C","30"
"1","243","B","67"
"1","244","C","104"
"1","245","B","141"
"1","246","D","178"
"1","247","B","215"
"1","248","D","252"
"1","249","B","289"
"1","250","S","326"
"1","251","B","363"
"1","252","A","400"
"1","253","B","437"
"1","254","A","474"
"1","255","C","511"
"1","256","A","548"
"1","257","C","585"
"1","258","A","622"
"1","259","C","659"
"2","1","B","237"
"2","2","D","274"
"2","3","B","311"
"2","148","A","631"
"2","4","D","348"
"2","149","C","668"
"2","5","B","385"
"2","150","B","705"
"2","6","S","422"
"2","151","C","742"
"2","7","B","459"
"2","152","B","779"
"2","153","D","816"
"2","154","B","853"
"2","155","D","890"
"2","156","B","927"
"2","157","S","964"
"2","158","B","1001"
"2","159","A","29"
"2","160","B","66"
"2","161","A","103"
"2","162","C","140"
"2","163","A","177"
"2","164","C","214"
"3","621","B","56"
"3","233","D","835"
"3","854","S","605"
"3","466","B","375"
"3","78","C","145"
"3","699","C","924"
"3","311","A","694"
"3","932","B","464"
"3","544","C","234"
"3","156","A","4"
"3","777","A","783"
"3","389","B","553"
"3","1","D","323"
"3","622","S","93"
"3","234","B","872"
"3","855","B","642"
"3","467","D","412"
"3","79","A","182"
"3","700","B","961"
"3","312","C","731"
"3","933","D","501"
"3","545","A","271"
"3","157","B","41"
"3","778","C","820"
"4","831","A","806"
"4","653","C","274"
"4","475","B","751"
"4","297","A","219"
"4","119","C","696"
"4","950","A","164"
"4","772","C","641"
"4","594","B","109"
"4","416","A","586"
"4","238","C","54"
"4","60","B","531"
"4","891","D","1008"
"4","713","B","476"
"4","535","A","953"
"4","357","D","421"
"4","179","B","898"
"4","1","A","366"
"4","832","C","843"
"4","654","B","311"
"4","476","D","788"
"4","298","C","256"
"4","120","B","733"
"4","951","C","201"
"4","773","B","678"
"5","372","A","10"
"5","327","B","363"
"5","435","B","323"
"5","436","S","360"
"5","277","C","531"
"5","385","S","491"
"5","332","D","548"
"5","387","A","565"
"5","334","S","622"
"5","388","B","602"
"5","335","B","659"
"5","337","B","733"
"5","391","A","713"
"5","392","C","750"
"5","339","C","807"
"5","393","A","787"
"5","340","A","844"
"5","341","C","881"
"5","448","B","804"
"5","396","C","898"
"5","343","C","955"
"5","397","B","935"
