"template_id","book_id","sort_order"
"1","1","0"
"1","2","1"
"1","3","2"
"1","4","3"
"1","5","4"
"1","6","5"
"1","7","6"
"2","236","0"
"2","237","1"
"2","238","2"
"2","239","3"
"2","240","4"
"2","241","5"
"2","242","6"
"2","243","7"
"2","244","8"
"2","245","9"
"2","246","10"
"2","247","11"
"2","248","12"
"2","249","13"
"2","250","14"
"2","251","15"
"2","252","16"
"2","253","17"
"2","254","18"
"2","255","19"
"2","256","20"
"2","257","21"
"2","258","22"
"2","259","23"
"3","1","0"
"3","2","1"
"3","3","2"
"3","148","3"
"3","4","4"
"3","149","5"
"3","5","6"
"3","150","7"
"3","6","8"
"3","151","9"
"3","7","10"
"3","152","11"
"3","153","12"
"3","154","13"
"3","155","14"
"3","156","15"
"3","157","16"
"3","158","17"
"3","159","18"
"3","160","19"
"3","161","20"
"3","162","21"
"3","163","22"
"3","164","23"
"4","367","0"
"4","368","1"
"4","369","2"
"4","370","3"
"4","371","4"
"4","372","5"
"4","373","6"
"4","374","7"
"4","375","8"
"4","376","9"
"4","377","10"
"4","378","11"
"4","379","12"
"4","380","13"
"4","381","14"
"4","382","15"
"4","383","16"
"4","384","17"
"4","385","18"
"4","386","19"
"4","387","20"
"4","388","21"
"4","389","22"
"4","390","23"
"5","621","0"
"5","233","1"
"5","854","2"
"5","466","3"
"5","78","4"
"5","699","5"
"5","311","6"
"5","932","7"
"5","544","8"
"5","156","9"
"5","777","10"
"5","389","11"
"5","1","12"
"5","622","13"
"5","234","14"
"5","855","15"
"5","467","16"
"5","79","17"
"5","700","18"
"5","312","19"
"5","933","20"
"5","545","21"
"5","157","22"
"5","778","23"
"6","831","0"
"6","653","1"
"6","475","2"
"6","297","3"
"6","119","4"
"6","950","5"
"6","772","6"
"6","594","7"
"6","416","8"
"6","238","9"
"6","60","10"
"6","891","11"
"6","713","12"
"6","535","13"
"6","357","14"
"6","179","15"
"6","1","16"
"6","832","17"
"6","654","18"
"6","476","19"
"6","298","20"
"6","120","21"
"6","951","22"
"6","773","23"
"7","372","0"
"7","327","1"
"7","435","2"
"7","436","3"
"7","277","4"
"7","385","5"
"7","332","6"
"7","387","7"
"7","334","8"
"7","388","9"
"7","335","10"
"7","337","11"
"7","391","12"
"7","392","13"
"7","339","14"
"7","393","15"
"7","340","16"
"7","341","17"
"7","448","18"
"7","396","19"
"7","343","20"
"7","397","21"
"7","345","22"
"7","346","23"
"8","615","0"
"8","584","1"
"8","585","2"
"8","591","3"
"8","592","4"
"8","593","5"
"8","596","6"
"8","597","7"
"8","598","8"
"8","599","9"
"8","600","10"
"8","602","11"
"8","605","12"
"8","606","13"
"8","607","14"
"8","608","15"
"8","609","16"
"8","610","17"
"8","611","18"
"8","613","19"
